,fitness_avg,fitness_std,fitness_min,fitness_max,fitness_gen,fitness_nevals,size_avg,size_std,size_min,size_max,size_gen,size_nevals,gen,nevals
0,194.5175,48.112417251162924,87.0,378.0,0.0,400.0,560.71,1484.9472771448823,2.0,10649.0,0.0,400.0,0,400
1,223.1225,49.687900878886,101.0,378.0,1.0,353.0,585.3025,1497.4605974761907,1.0,8658.0,1.0,353.0,1,353
2,243.6175,47.14235032059815,151.0,378.0,2.0,373.0,232.8075,917.0934442267866,1.0,6590.0,2.0,373.0,2,373
3,250.4475,48.074184795480406,33.0,360.0,3.0,358.0,104.195,556.5678098623744,1.0,4462.0,3.0,358.0,3,358
4,255.8375,46.07614451915438,99.0,342.0,4.0,365.0,135.2725,693.4858529514138,1.0,4462.0,4.0,365.0,4,365
5,257.22,47.910453974054555,78.0,338.0,5.0,368.0,152.15,725.2477421543621,1.0,4462.0,5.0,368.0,5,368
6,263.53,44.42177506583905,125.0,341.0,6.0,356.0,124.84,620.1060065827454,2.0,4462.0,6.0,356.0,6,356
7,267.555,42.934973797593024,88.0,368.0,7.0,361.0,71.7425,382.3790935625926,2.0,4462.0,7.0,361.0,7,361
8,271.0075,44.84074535230207,78.0,358.0,8.0,356.0,49.6125,222.09063992827342,2.0,4462.0,8.0,356.0,8,356
9,280.095,45.57840470003311,116.0,372.0,9.0,353.0,35.1425,21.80566884436247,3.0,80.0,9.0,353.0,9,353
10,277.3575,54.05307293531053,119.0,385.0,10.0,355.0,33.1,19.96471888106617,1.0,72.0,10.0,355.0,10,355
11,288.905,55.84953871788021,76.0,385.0,11.0,361.0,31.82,17.95167401664814,1.0,72.0,11.0,361.0,11,361
12,296.3925,54.809656482685604,87.0,371.0,12.0,373.0,31.72,15.995361827729937,3.0,68.0,12.0,373.0,12,373
13,294.7175,67.38944794068283,93.0,377.0,13.0,358.0,31.125,15.494172291542391,1.0,68.0,13.0,358.0,13,358
14,302.46,68.04151967732643,96.0,388.0,14.0,352.0,31.3025,14.724333388985729,3.0,68.0,14.0,352.0,14,352
15,306.0175,71.12567886319259,81.0,396.0,15.0,361.0,29.82,14.196922201660472,2.0,61.0,15.0,361.0,15,361
16,302.4325,77.73834603173648,84.0,396.0,16.0,365.0,28.465,12.628490606561023,1.0,61.0,16.0,365.0,16,365
17,299.7825,80.91387516211296,99.0,396.0,17.0,370.0,28.0625,11.621040992527305,3.0,59.0,17.0,370.0,17,370
18,303.9675,79.3780602165989,112.0,396.0,18.0,356.0,27.17,11.803647741270492,1.0,59.0,18.0,356.0,18,356
19,299.24,79.10368133026427,108.0,394.0,19.0,378.0,28.285,12.282254475461741,3.0,59.0,19.0,378.0,19,378
20,297.19,81.45080662584012,141.0,392.0,20.0,375.0,27.79,12.970963726724396,2.0,59.0,20.0,375.0,20,375
